127.0.0.1, 2015-03-14 02:54:19, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001290
127.0.0.1, 2015-03-14 02:54:19, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.002162
127.0.0.1, 2015-03-14 02:54:19, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001519
127.0.0.1, 2015-03-14 02:54:19, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001301
127.0.0.1, 2015-03-14 02:54:19, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000387
127.0.0.1, 2015-03-14 02:54:19, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001200
127.0.0.1, 2015-03-14 02:54:19, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001714
127.0.0.1, 2015-03-14 02:54:19, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000569
127.0.0.1, 2015-03-14 02:54:19, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000358
127.0.0.1, 2015-03-14 02:54:19, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001109
127.0.0.1, 2015-03-14 02:54:19, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000676
127.0.0.1, 2015-03-14 02:54:19, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001548
127.0.0.1, 2015-03-14 02:54:19, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000311
127.0.0.1, 2015-03-14 02:54:19, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000525
127.0.0.1, 2015-03-14 02:54:19, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000460
127.0.0.1, 2015-03-14 02:54:21, GET, /admin/default/index, HTTP/1.1, 303, 0.092641
127.0.0.1, 2015-03-14 02:54:21, GET, /admin/default/site, HTTP/1.1, 200, 0.041149
127.0.0.1, 2015-03-14 02:54:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000203
127.0.0.1, 2015-03-14 02:54:21, GET, /admin/default/null, HTTP/1.1, 404, 0.007876
127.0.0.1, 2015-03-14 02:54:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000191
127.0.0.1, 2015-03-14 02:54:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000250
127.0.0.1, 2015-03-14 02:54:22, GET, /myapp/default/index, HTTP/1.1, 200, 0.057647
127.0.0.1, 2015-03-14 02:54:22, GET, /myapp/static/js/jquery.js, HTTP/1.1, 200, 0.001515
